Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s),Y' (Mho),-Y'' (Mho)
1,20000,1.19613821353421,0.154325691029451,1.20605267081854,7.35168563804234,3.4710669912364,0.822335077066465,0.10609762951312
2,11184,1.22021996037275,0.25994209283782,1.24760035400804,12.0258896080865,5.86910898518192,0.783947801063846,0.167003522890982
3,6254.2,1.26568116664303,0.438616803231258,1.33952734786254,19.1135564711563,8.63216197820589,0.705376762786072,0.244445527768607
4,3497.4,1.37134826974301,0.734978798087122,1.55588878476732,28.1892352160277,11.3652109713056,0.566487931793757,0.303611145634552
5,1955.7,1.6446978987895,1.19142029604255,2.03088982963249,35.9195980829539,13.7232549653521,0.398761671830568,0.288863231024048
6,1093.7,2.28818126026911,1.73007646961302,2.86861256891818,37.0926492948348,17.8243359549979,0.278065193910819,0.210242980902183
7,611.58,3.33350640160245,1.9606460191324,3.86735022229229,30.4624789033765,19.9323719496756,0.222881636282758,0.131090791577733
8,342,4.32129817475792,1.63120725522616,4.61892357856986,20.6805607011155,22.3254139436337,0.202550201997721,0.0764588199389218
9,191.24,4.87446130628214,1.08441610280071,4.99362907217339,12.5422761390381,24.6584579377434,0.195476280997212,0.0434873955314366
10,106.94,5.09583005257085,0.648161589345405,5.13688596044208,7.24878429528813,27.0415049317268,0.193114590199521,0.0245631150211455
11,59.804,5.17289700195524,0.372756844854509,5.18630996549796,4.12158642251101,29.4745459255839,0.192316653230923,0.0138582594712869
12,33.443,5.19956970999111,0.211532413502676,5.20387078346679,2.32966098252546,32.0325969191255,0.192005821686003,0.00781131076861246
13,18.701,5.21001919085421,0.119753915318289,5.21139529965855,1.31672949980856,34.9906489116571,0.191836520713351,0.00440942223337481
14,10.458,5.21295647510993,0.0674754166864329,5.21339315065031,0.741583155086125,38.3237139032419,0.191797589549413,0.00248258782441247
15,5.848,5.21485479501143,0.0379043180924076,5.21499254749072,0.416448643895515,42.5067878926807,0.191749763051561,0.00139373852169439
16,3.2702,5.21369596277795,0.0214047053801774,5.21373990084848,0.235225145182346,48.1698938783827,0.191799282598627,0.000787427415304356
17,1.8287,5.21434562110419,0.012082731099125,5.21435962019491,0.132766085757697,56.0180378585681,0.191777588835261,0.000444388846676476
18,1.0226,5.21649292024802,0.00687993935474519,5.21649745716062,0.075566336579164,64.3511928375289,0.191699342037136,0.000252828838785684
19,0.57186,5.21494567904297,0.00358079212801231,5.214946908401,0.0393415879344617,73.7143668138891,0.191756461154312,0.000131667723665124
20,0.31979,5.21379474383977,0.0023345997407945,5.21379526652583,0.0256555368271917,84.4925647866768,0.19179884299825,8.58824620354409E-05
21,0.17883,5.21441112756189,0.00148375462805028,5.21441133866222,0.0163034470520532,98.0108177525465,0.1917761938153,5.45696931374044E-05
22,0.1,5.21515260831134,0.000992265107498347,5.21515270270839,0.0109014263630758,116.389158706146,0.191748936014881,3.64832619287641E-05
